0.0393 0.0785 0.1175 0.1564 0.1951 0.2334 0.2714 0.3090 0.3461 0.3827 0.4187 0.4540 0.4886 0.5225 0.5556 0.5878 0.6191 0.6494 0.6788 0.7071 0.7343 0.7604 0.7853 0.8090 0.8315 0.8526 0.8725 0.8910 0.9081 0.9239 0.9382 0.9511 0.9625 0.9724 0.9808 0.9877 0.9931 0.9969 0.9992 1.0000 0.9992 0.9969 0.9931 0.9877 0.9808 0.9724 0.9625 0.9511 0.9382 0.9239 0.9081 0.8910 0.8725 0.8526 0.8315 0.8090 0.7853 0.7604 0.7343 0.7071 0.6788 0.6494 0.6191 0.5878 0.5556 0.5225 0.4886 0.4540 0.4187 0.3827 0.3461 0.3090 0.2714 0.2334 0.1951 0.1564 0.1175 0.0785 0.0393 0.0000 
0.0080 0.0477 0.0874 0.1269 0.1662 0.2053 0.2441 0.2825 0.3204 0.3579 0.3948 0.4311 0.4667 0.5017 0.5358 0.5691 0.6015 0.6331 0.6636 0.6931 0.7215 0.7489 0.7751 0.8000 0.8238 0.8463 0.8674 0.8873 0.9057 0.9228 0.9384 0.9526 0.9654 0.9766 0.9864 0.9946 1.0012 1.0064 1.0100 1.0120 1.0125 1.0114 1.0087 1.0045 0.9988 0.9915 0.9826 0.9723 0.9605 0.9471 0.9324 0.9161 0.8985 0.8795 0.8591 0.8374 0.8144 0.7902 0.7647 0.7381 0.7103 0.6814 0.6515 0.6206 0.5887 0.5559 0.5222 0.4878 0.4526 0.4167 0.3801 0.3430 0.3053 0.2672 0.2286 0.1897 0.1505 0.1111 0.0715 0.0350 
-0.0241 0.0161 0.0563 0.0965 0.1365 0.1762 0.2157 0.2549 0.2937 0.3320 0.3698 0.4071 0.4437 0.4796 0.5148 0.5492 0.5828 0.6154 0.6471 0.6778 0.7075 0.7361 0.7635 0.7898 0.8148 0.8386 0.8611 0.8823 0.9021 0.9205 0.9375 0.9530 0.9671 0.9797 0.9908 1.0003 1.0083 1.0148 1.0197 1.0230 1.0247 1.0249 1.0235 1.0205 1.0159 1.0097 1.0020 0.9928 0.9820 0.9697 0.9560 0.9407 0.9240 0.9059 0.8863 0.8654 0.8432 0.8197 0.7949 0.7689 0.7417 0.7133 0.6839 0.6534 0.6218 0.5894 0.5560 0.5218 0.4867 0.4509 0.4144 0.3773 0.3396 0.3014 0.2627 0.2236 0.1841 0.1444 0.1042 0.0708 
-0.0568 -0.0162 0.0245 0.0652 0.1058 0.1462 0.1864 0.2263 0.2659 0.3051 0.3438 0.3819 0.4195 0.4564 0.4927 0.5281 0.5628 0.5966 0.6294 0.6613 0.6922 0.7220 0.7507 0.7782 0.8046 0.8297 0.8535 0.8760 0.8971 0.9169 0.9353 0.9522 0.9676 0.9816 0.9940 1.0049 1.0143 1.0221 1.0283 1.0329 1.0359 1.0374 1.0372 1.0355 1.0321 1.0271 1.0206 1.0125 1.0028 0.9916 0.9789 0.9646 0.9489 0.9317 0.9131 0.8930 0.8716 0.8488 0.8247 0.7994 0.7728 0.7450 0.7161 0.6861 0.6550 0.6229 0.5899 0.5559 0.5211 0.4855 0.4491 0.4120 0.3743 0.3361 0.2973 0.2580 0.2184 0.1784 0.1375 0.1071 
-0.0900 -0.0493 -0.0082 0.0330 0.0742 0.1152 0.1561 0.1968 0.2371 0.2771 0.3166 0.3557 0.3942 0.4321 0.4693 0.5059 0.5416 0.5765 0.6105 0.6436 0.6756 0.7067 0.7366 0.7654 0.7931 0.8195 0.8446 0.8684 0.8909 0.9121 0.9318 0.9501 0.9669 0.9822 0.9960 1.0083 1.0190 1.0282 1.0358 1.0417 1.0461 1.0488 1.0500 1.0495 1.0474 1.0437 1.0383 1.0314 1.0229 1.0128 1.0011 0.9879 0.9732 0.9570 0.9393 0.9201 0.8995 0.8776 0.8543 0.8297 0.8037 0.7766 0.7483 0.7188 0.6882 0.6565 0.6238 0.5902 0.5556 0.5202 0.4840 0.4471 0.4094 0.3711 0.3323 0.2929 0.2531 0.2130 0.1714 0.1441 
-0.1238 -0.0829 -0.0416 0.0000 0.0417 0.0834 0.1249 0.1662 0.2073 0.2481 0.2884 0.3283 0.3678 0.4066 0.4448 0.4824 0.5192 0.5552 0.5903 0.6245 0.6578 0.6900 0.7212 0.7513 0.7802 0.8079 0.8344 0.8596 0.8834 0.9059 0.9270 0.9467 0.9649 0.9816 0.9968 1.0105 1.0226 1.0331 1.0421 1.0494 1.0551 1.0592 1.0617 1.0625 1.0617 1.0592 1.0551 1.0494 1.0421 1.0331 1.0226 1.0105 0.9968 0.9816 0.9649 0.9467 0.9270 0.9059 0.8834 0.8596 0.8344 0.8079 0.7802 0.7513 0.7212 0.6900 0.6578 0.6245 0.5903 0.5551 0.5191 0.4824 0.4448 0.4066 0.3677 0.3283 0.2884 0.2481 0.2060 0.1818 
-0.1581 -0.1170 -0.0755 -0.0336 0.0085 0.0507 0.0928 0.1348 0.1765 0.2180 0.2592 0.2999 0.3402 0.3800 0.4192 0.4577 0.4956 0.5326 0.5689 0.6043 0.6387 0.6721 0.7046 0.7359 0.7661 0.7951 0.8229 0.8494 0.8746 0.8985 0.9210 0.9420 0.9616 0.9798 0.9964 1.0115 1.0250 1.0369 1.0472 1.0560 1.0631 1.0685 1.0723 1.0745 1.0750 1.0738 1.0710 1.0665 1.0604 1.0527 1.0433 1.0323 1.0197 1.0056 0.9899 0.9727 0.9540 0.9338 0.9121 0.8891 0.8647 0.8390 0.8119 0.7836 0.7541 0.7235 0.6917 0.6589 0.6250 0.5902 0.5545 0.5179 0.4805 0.4424 0.4036 0.3641 0.3241 0.2838 0.2411 0.2201 
-0.1928 -0.1516 -0.1100 -0.0679 -0.0255 0.0171 0.0598 0.1024 0.1448 0.1870 0.2289 0.2705 0.3116 0.3523 0.3924 0.4319 0.4708 0.5089 0.5462 0.5827 0.6183 0.6530 0.6866 0.7192 0.7507 0.7810 0.8101 0.8379 0.8645 0.8897 0.9136 0.9361 0.9571 0.9766 0.9946 1.0111 1.0261 1.0394 1.0512 1.0613 1.0698 1.0767 1.0818 1.0854 1.0872 1.0874 1.0859 1.0827 1.0778 1.0713 1.0631 1.0533 1.0419 1.0289 1.0142 0.9980 0.9803 0.9611 0.9404 0.9182 0.8946 0.8696 0.8433 0.8157 0.7869 0.7568 0.7255 0.6932 0.6597 0.6253 0.5899 0.5536 0.5164 0.4784 0.4397 0.4003 0.3603 0.3199 0.2767 0.2591 
-0.2280 -0.1868 -0.1450 -0.1028 -0.0602 -0.0172 0.0259 0.0691 0.1121 0.1550 0.1977 0.2400 0.2819 0.3235 0.3645 0.4050 0.4448 0.4840 0.5224 0.5600 0.5967 0.6325 0.6674 0.7012 0.7339 0.7655 0.7959 0.8251 0.8531 0.8797 0.9049 0.9288 0.9512 0.9722 0.9916 1.0095 1.0259 1.0407 1.0539 1.0654 1.0754 1.0836 1.0902 1.0951 1.0983 1.0999 1.0997 1.0978 1.0943 1.0890 1.0821 1.0735 1.0633 1.0514 1.0379 1.0227 1.0061 0.9878 0.9681 0.9468 0.9241 0.9000 0.8744 0.8475 0.8194 0.7899 0.7593 0.7274 0.6945 0.6604 0.6254 0.5894 0.5525 0.5147 0.4761 0.4368 0.3969 0.3565 0.3128 0.2987 
-0.2635 -0.2223 -0.1805 -0.1382 -0.0954 -0.0522 -0.0087 0.0350 0.0786 0.1221 0.1654 0.2085 0.2512 0.2936 0.3355 0.3769 0.4177 0.4578 0.4973 0.5360 0.5738 0.6108 0.6468 0.6819 0.7159 0.7487 0.7805 0.8110 0.8403 0.8682 0.8949 0.9201 0.9440 0.9664 0.9873 1.0066 1.0245 1.0407 1.0553 1.0683 1.0797 1.0894 1.0974 1.1037 1.1084 1.1113 1.1125 1.1119 1.1097 1.1058 1.1001 1.0928 1.0838 1.0731 1.0607 1.0467 1.0311 1.0139 0.9952 0.9749 0.9531 0.9298 0.9051 0.8790 0.8516 0.8228 0.7928 0.7615 0.7291 0.6956 0.6609 0.6253 0.5887 0.5512 0.5128 0.4737 0.4337 0.3935 0.3494 0.3388 
