-0.2771 0.8451 0.8551 0.5273 0.3523 -0.3790 -0.7783 -0.6918 -0.5900 -0.3354 -0.0098 0.1317 0.1718 0.2007 0.1716 0.1084 0.0693 0.0490 0.0289 0.0172 
-0.5151 0.3448 0.8539 0.6687 0.6496 0.0886 -0.5575 -0.7025 -0.6925 -0.5464 -0.2178 0.0266 0.1260 0.1864 0.1975 0.1489 0.0974 0.0680 0.0431 0.0289 
-0.5514 -0.1635 0.6214 0.6747 0.7955 0.5251 -0.1800 -0.5716 -0.6995 -0.6926 -0.4432 -0.1385 0.0383 0.1404 0.1967 0.1820 0.1314 0.0930 0.0609 0.0431 
-0.4129 -0.5289 0.2411 0.5345 0.7681 0.8212 0.2631 -0.2974 -0.5879 -0.7349 -0.6326 -0.3419 -0.0973 0.0571 0.1609 0.1945 0.1635 0.1231 0.0833 0.0609 
-0.1746 -0.6626 -0.1601 0.2801 0.5851 0.9085 0.6536 0.0746 -0.3554 -0.6504 -0.7331 -0.5411 -0.2721 -0.0660 0.0853 0.1747 0.1820 0.1536 0.1098 0.0833 
0.0700 -0.5602 -0.4566 -0.0203 0.2998 0.7779 0.8841 0.4593 -0.0306 -0.4397 -0.7063 -0.6828 -0.4590 -0.2232 -0.0304 0.1145 0.1740 0.1754 0.1370 0.1098 
0.2407 -0.2934 -0.5668 -0.2824 -0.0124 0.4800 0.8928 0.7555 0.3265 -0.1311 -0.5405 -0.7173 -0.6152 -0.3961 -0.1795 0.0119 0.1288 0.1770 0.1581 0.1370 
0.2948 0.0226 -0.4776 -0.4342 -0.2732 0.1076 0.6835 0.8784 0.6354 0.2206 -0.2561 -0.6152 -0.6920 -0.5524 -0.3461 -0.1272 0.0410 0.1466 0.1638 0.1581 
0.2357 0.2730 -0.2438 -0.4393 -0.4228 -0.2332 0.3248 0.7897 0.8163 0.5430 0.0954 -0.3789 -0.6502 -0.6508 -0.5037 -0.2881 -0.0865 0.0759 0.1439 0.1638 
0.1046 0.3824 0.0370 -0.3091 -0.4348 -0.4550 -0.0735 0.5135 0.8159 0.7621 0.4415 -0.0465 -0.4747 -0.6516 -0.6173 -0.4467 -0.2414 -0.0365 0.0903 0.1439 
-0.0390 0.3358 0.2620 -0.0978 -0.3227 -0.5126 -0.3959 0.1308 0.6280 0.8216 0.7047 0.3146 -0.1848 -0.5301 -0.6499 -0.5717 -0.4011 -0.1829 -0.0005 0.0903 
-0.1412 0.1753 0.3602 0.1179 -0.1335 -0.4131 -0.5581 -0.2456 0.3004 0.7020 0.8218 0.6235 0.1667 -0.2890 -0.5736 -0.6290 -0.5356 -0.3454 -0.1241 -0.0005 
-0.1719 -0.0222 0.3141 0.2659 0.0675 -0.2084 -0.5316 -0.5083 -0.0768 0.4300 0.7622 0.8063 0.5033 0.0358 -0.3804 -0.5905 -0.6112 -0.4964 -0.2675 -0.1241 
-0.1319 -0.1778 0.1602 0.3036 0.2181 0.0248 -0.3487 -0.5895 -0.3974 0.0750 0.5385 0.8168 0.7448 0.3796 -0.0906 -0.4428 -0.5979 -0.6029 -0.4091 -0.2675 
-0.0483 -0.2398 -0.0302 0.2305 0.2777 0.2112 -0.0871 -0.4826 -0.5732 -0.2681 0.2064 0.6509 0.8298 0.6635 0.2459 -0.1965 -0.4788 -0.6323 -0.5208 -0.4091 
0.0395 -0.1993 -0.1811 0.0849 0.2386 0.2999 0.1598 -0.2408 -0.5628 -0.5068 -0.1487 0.3497 0.7341 0.8154 0.5586 0.1116 -0.2572 -0.5606 -0.5734 -0.5208 
0.0969 -0.0876 -0.2410 -0.0723 0.1256 0.2778 0.3148 0.0436 -0.3849 -0.5798 -0.4340 -0.0098 0.4806 0.7919 0.7734 0.4219 0.0379 -0.3812 -0.5429 -0.5734 
0.1062 0.0410 -0.1993 -0.1826 -0.0148 0.1689 0.3406 0.2737 -0.1102 -0.4768 -0.5764 -0.3350 0.1345 0.5937 0.8331 0.6649 0.3536 -0.1107 -0.4180 -0.5429 
